spa_id,item_title,container,goldsmiths,date,date_qualifier,sender_name,sender_organization,sender_address,sender_city,sender_country,sender_full_address,recipient_name,recipient_organization,recipient_address,recipient_city,recipient_country,recipient_full_address,original,document_type,format,language,notes,x,y
1748,"Henri Prunières to Sergey Sergeevich Prokofiev, 10 August 1921","Box: 1; Folder: 1921, August","Binder II, page 28",10 August 1921,exact,Henri Prunières,not_stated,not_stated,not_stated,,not_stated,Sergey Sergeevich Prokofiev,not_stated,not_stated,St. Brévin-les-Pins,,St. Brévin-les-Pins,original,postcard,handwritten,French,,-2.1652,47.2484
1754,"Boris de Schloezer to Sergey Sergeevich Prokofiev, 16 August 1921","Box: 1; Folder: 1921, August","Binder II, page 40",16 August 1921,exact,Boris de Schloezer,not_stated,not_stated,Paris,,Paris,Sergey Sergeevich Prokofiev,not_stated,Villa Cytises,St. Brévin-les-Pins,,"Villa Cytises, St. Brévin-les-Pins",original,letter,handwritten,Russian,,-2.160455787,47.22324694
1762,"not_stated to Sergey Sergeevich Prokofiev, 19 August 1921","Box: 1; Folder: 1921, August",not_applicable,19 August 1921,exact,not_stated,not_stated,not_stated,not_stated,,not_stated,Sergey Sergeevich Prokofiev,not_stated,Les Rochelets,St. Brévin-les-Pins,,"Les Rochelets, St. Brévin-les-Pins",original,postcard,handwritten,French,,-2.1637,47.21926
1764,"Ernest Ansermet to Sergey Sergeevich Prokofiev, 21 August 1921","Box: 1; Folder: 1921, August","Binder II, page 57",21 August 1921,exact,Ernest Ansermet,not_stated,not_stated,not_stated,,not_stated,Sergey Sergeevich Prokofiev,not_stated,Villa Christophorus,St. Brévin-les-Pins,,"Villa Christophorus, St. Brévin-les-Pins",original,postcard,handwritten,French,Originator's own: 'Bière' ?,-2.1652,47.2484
1765,"Director to Sergey Sergeevich Prokofiev, 22 August 1921","Box: 1; Folder: 1921, August","Binder II, page 70",22 August 1921,exact,Director,Maison Chester,86 Rue de la Montagne,Brusssels,,"86 Rue de la Montagne, Brusssels",Sergey Sergeevich Prokofiev,not_stated,not_stated,St. Brévin-les-Pins,,St. Brévin-les-Pins,original,letter,typed,French,"Verso side contains Prokofiev's response to Director, Maison Chester, August [26th] 1921",-2.1652,47.2484
1768,"Mr Sharpe to Sergey Sergeevich Prokofiev, 24 August 1921","Box: 1; Folder: 1921, August","Binder II, page 68",24 August 1921,exact,Mr Sharpe,not_stated,61 Regent Street,London,,"61 Regent Street, London",Sergey Sergeevich Prokofiev,not_stated,not_stated,St. Brévin-les-Pins,,St. Brévin-les-Pins,original,letter,typed,English,"Verso side contains Prokofiev's response to Sharp, August 27th 1921",-2.1652,47.2484
1785,"George M. Spangler to Sergey Sergeevich Prokofiev, 07 September 1921","Box: 1; Folder: 1921, September","Binder II, page 113",07 September 1921,exact,George M. Spangler,not_stated,"Chicago Opera Association, Auditorium Theatre",Chicago,,"Chicago Opera Association, Auditorium Theatre, Chicago",Sergey Sergeevich Prokofiev,not_stated,Villa Cytises,St. Brévin-les-Pins,,"Villa Cytises, St. Brévin-les-Pins",original,letter,typed,English,,-2.160455787,47.22324694
1793,"Fitzhugh Haensel to Sergey Sergeevich Prokofiev, 13 September 1921","Box: 1; Folder: 1921, September","Binder II, page 103",13 September 1921,exact,Fitzhugh Haensel,not_stated,33 West 42nd Street,New York,,"33 West 42nd Street, New York",Sergey Sergeevich Prokofiev,not_stated,not_stated,St. Brévin-les-Pins,,St. Brévin-les-Pins,original,letter,typed,English,,-2.1652,47.2484
1796,"Horace Parmelee to Sergey Sergeevich Prokofiev, 20 September 1921","Box: 1; Folder: 1921, September","Binder II, page 119",20 September 1921,exact,Horace Parmelee,not_stated,33 West 42nd Street,New York,,"33 West 42nd Street, New York",Sergey Sergeevich Prokofiev,not_stated,not_stated,St. Brévin-les-Pins,,St. Brévin-les-Pins,original,letter,printed,English,,-2.1652,47.2484
1803,"Ernest Alexandrovich Oeberg to Sergey Sergeevich Prokofiev, 06 October 1921","Box: 1; Folder: 1921, October","Binder II, page 118",06 October 1921,exact,Ernest Alexandrovich Oeberg,not_stated,Dessauerstrasse 17,Berlin,,"Dessauerstrasse 17, Berlin",Sergey Sergeevich Prokofiev,not_stated,"c/o American Express, [rue Scribe]",Paris,France,"c/o American Express, Paris",original,postcard,handwritten,Russian,,2.330535686,48.87153006
