spa_id,item_title,container,goldsmiths,date,date_qualifier,sender_name,sender_organization,sender_address,sender_city,sender_country,sender_full_address,recipient_name,recipient_organization,recipient_address,recipient_city,recipient_country,recipient_full_address,original,document_type,format,language,notes,FID,Country,x,y
2021,"Nikolai Titovich Kucheriavy to Sergey Sergeevich Prokofiev, 22 August 1922","Box: 1; Folder: 1922, August","Binder III, page 250",22 August 1922,exact,Nikolai Titovich Kucheriavy,not_stated,not_stated,Warsaw,,Warsaw,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,23,,21.0102699997378,52.2355800000339
2023,"Norbert Salter to Sergey Sergeevich Prokofiev, 24 August 1922","Box: 1; Folder: 1922, August","Binder III, page 254",24 August 1922,exact,Norbert Salter,not_stated,Augsburgerstrasse 52,Berlin,,"Augsburgerstrasse 52, Berlin",Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,letter,typed,German,,24,,13.331397893797,52.5031095546884
2025,"Ernest Alexandrovich Oeberg to Sergey Sergeevich Prokofiev, 25 August 1922","Box: 1; Folder: 1922, August","Binder III, page 256",25 August 1922,exact,Ernest Alexandrovich Oeberg,not_stated,3 Rue de Moscou,Paris,,"3 Rue de Moscou, Paris",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,25,,2.32636588035534,48.8798689142025
2026,"José Raoul Capablanca to Sergey Sergeevich Prokofiev, 25 August 1922","Box: 1; Folder: 1922, August","Binder III, page 257",25 August 1922,exact,José Raoul Capablanca,not_stated,Queen Anne's Mansions,London,,"Queen Anne's Mansions, London",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,English,,26,,-0.191848499735411,51.4889100000367
2027,"Leona Spitzer to Sergey Sergeevich Prokofiev, [25 August 1922]","Box: 1; Folder: 1922, August","Binder III, page 258",25 August 1922,implied,Leona Spitzer,not_stated,355 North 3rd Street,San Jose,,"355 North 3rd Street, San Jose",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,English,,27,,-121.892628010655,37.3426770713612
2028,"Dr. Credkovsky to Sergey Sergeevich Prokofiev, 27 August 1922","Box: 1; Folder: 1922, August","Binder III, page 260",27 August 1922,exact,Dr. Credkovsky,not_stated,not_stated,Vienna,,Vienna,Sergey Sergeevich Prokofiev,not_stated,Dessauerstrasse 17,Berlin,,"Dessauerstrasse 17, Berlin",original,postcard,handwritten,German,Signature appears to be 'Dr Credchovsky'. Postcard re-addressed to Ettal.,28,,16.3688000000275,48.2025400002485
2029,"Norbert Salter to Sergey Sergeevich Prokofiev, 28 August 1922","Box: 1; Folder: 1922, August","Binder III, page 262",28 August 1922,exact,Norbert Salter,not_stated,Augsburgerstrasse 52,Berlin,,"Augsburgerstrasse 52, Berlin",Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,letter,typed,German,,29,,13.331397893797,52.5031095546884
2030,"A. Iakovlev, Iu. Pomerantsev, M. Levin to Sergey Sergeevich Prokofiev, 28 August 1922","Box: 1; Folder: 1922, August","Binder III, page 266",28 August 1922,exact,"A. Iakovlev, Iu. Pomerantsev, M. Levin",not_stated,Jägerstrasse 11,Berlin,,"Jägerstrasse 11, Berlin",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,typed,Russian,"Signed: ' A. Iakovlev, Iu. Pomerantsev, M. Levin'.",30,,13.196283680708,52.5225837308358
2032,"Alexander Smallens to Sergey Sergeevich Prokofiev, 28 August 1922","Box: 1; Folder: 1922, August","Binder III, page 268",28 August 1922,exact,Alexander Smallens,not_stated,Augsburgerstrasse 52,Berlin,,"Augsburgerstrasse 52, Berlin",Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,English,,31,,13.331397893797,52.5031095546884
1515,"Serge Pavlovich Diaghilev to Sergey Sergeevich Prokofiev, 08 April 1915",Box: 1; Folder: 1910-1915,not_applicable,08 April 1915,exact,Serge Pavlovich Diaghilev,not_stated,not_stated,Rome,,Rome,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,32,,12.4956499997218,41.9032199997819
2033,"Alexei Fedorovich Staal to Sergey Sergeevich Prokofiev, 29 August 1922","Box: 1; Folder: 1922, August","Binder III, page 269",29 August 1922,exact,Alexei Fedorovich Staal,not_stated,not_stated,Marienbad,,Marienbad,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,33,,12.7048299998643,49.9742200000052
2036,"Norbert Salter to Sergey Sergeevich Prokofiev, 04 September 1922","Box: 1; Folder: 1922, September","Binder III, page 277",04 September 1922,exact,Norbert Salter,not_stated,Augsburgerstrasse 52,Berlin,,"Augsburgerstrasse 52, Berlin",Sergey Sergeevich Prokofiev,not_stated,not_stated,Ettal,Germany,Ettal,original,letter,typed,German,,34,,13.331397893797,52.5031095546884
2037,"Alexei Fedorovich Staal to Sergey Sergeevich Prokofiev, 05 September 1922","Box: 1; Folder: 1922, September","Binder III, page 273",05 September 1922,exact,Alexei Fedorovich Staal,not_stated,not_stated,Marienbad,,Marienbad,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,35,,12.7048299998643,49.9742200000052
2038,"Alexei Fedorovich Staal to Sergey Sergeevich Prokofiev, 05 September 1922","Box: 1; Folder: 1922, September","Binder III, page 279",05 September 1922,exact,Alexei Fedorovich Staal,not_stated,not_stated,Marienbad,,Marienbad,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,original,letter,handwritten,Russian,,36,,12.7048299998643,49.9742200000052
