spa_id,item_title,container,goldsmiths,date,date_qualifier,sender_name,sender_organization,sender_address,sender_city,sender_country,sender_full_address,recipient_name,recipient_organization,recipient_address,recipient_city,recipient_country,recipient_full_address,original,document_type,format,language,notes,x,y
5824,"Sergey Sergeevich Prokofiev to Fyodor Weber, 10 September 1928","Box: 2; Folder: 1928, September","Binder XIX, page 34",10 September 1928,exact,Sergey Sergeevich Prokofiev,not_stated,Château de Vétraz,Annemasse,,"Château de Vétraz, Annemasse",Fyodor Weber,not_stated,not_stated,Berlin,,Berlin,original,letter,draft,Russian,Typed draft.,13.37691,52.51604
5825,"Sergey Sergeevich Prokofiev to Director, 10 September 1928","Box: 2; Folder: 1928, September","Binder XIX, page 35",10 September 1928,exact,Sergey Sergeevich Prokofiev,not_stated,Château de Vétraz,Annemasse,,"Château de Vétraz, Annemasse",Director,Leningradskie Gosudarstvennye Akademicheskie Teatry,Zodchego Rossi Ul. 2,Leningrad,,"Zodchego Rossi Ul. 2, Leningrad",original,letter,draft,Russian,Typed draft.,30.26417,59.89444
5826,"Sergey Sergeevich Prokofiev to Gavriil Grigorievich Paichadze, 12 September 1928","Box: 2; Folder: 1928, September","Binder XIX, page 36",12 September 1928,exact,Sergey Sergeevich Prokofiev,not_stated,Château de Vétraz,Annemasse,,"Château de Vétraz, Annemasse",Gavriil Grigorievich Paichadze,not_stated,not_stated,Paris,,Paris,original,letter,draft,Russian,Typed draft.,2.34144,48.85721
5831,"Sergey Sergeevich Prokofiev to Swiss Consul, 17 September 1928","Box: 2; Folder: 1928, September","Binder XIX, page 43",17 September 1928,exact,Sergey Sergeevich Prokofiev,not_stated,Château de Vétraz,Annemasse,,"Château de Vétraz, Annemasse",Swiss Consul,not_stated,6 Quai des Brotteaux,Lyon,,"6 Quai des Brotteaux, Lyon",original,letter,draft,French,Typed draft.,4.857017984,45.76953863
5834,"Sergey Sergeevich Prokofiev to N. Freidenshtein, 18 September 1928","Box: 2; Folder: 1928, September","Binder XIX, page 47",18 September 1928,exact,Sergey Sergeevich Prokofiev,not_stated,Château de Vétraz,Annemasse,,"Château de Vétraz, Annemasse",N. Freidenshtein,not_stated,not_stated,Paris,,Paris,original,letter,draft,Russian,Typed draft.,2.34144,48.85721
5836,"Sergey Sergeevich Prokofiev to Albert Hauglustaine, 21 September 1928","Box: 2; Folder: 1928, September","Binder XIX, page 50",21 September 1928,exact,Sergey Sergeevich Prokofiev,not_stated,Château de Vétraz,Annemasse,,"Château de Vétraz, Annemasse",Albert Hauglustaine,not_stated,61 Rue de Montreuil,Paris,,"61 Rue de Montreuil, Paris",original,letter,draft,French,Typed draft.,2.389815723,48.85050251
5839,"Sergey Sergeevich Prokofiev to Swiss Consul, 22 September 1928","Box: 2; Folder: 1928, September","Binder XIX, page 53",22 September 1928,exact,Sergey Sergeevich Prokofiev,not_stated,Château de Vétraz,Annemasse,,"Château de Vétraz, Annemasse",Swiss Consul,not_stated,6 Quai des Brotteaux,Lyon,,"6 Quai des Brotteaux, Lyon",original,letter,draft,French,Typed draft.,4.857017984,45.76953863
5843,"Sergey Sergeevich Prokofiev to not_stated, 24 September 1928","Box: 2; Folder: 1928, September","Binder XIX, page 56",24 September 1928,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,not_stated,,not_stated,not_stated,Siromuik,not_stated,Paris,,Paris,original,telegram,draft,Russian,,2.34144,48.85721
5846,"Sergey Sergeevich Prokofiev to Sonia Brichant, 25 September 1928","Box: 2; Folder: 1928, September","Binder XIX, page 59",25 September 1928,exact,Sergey Sergeevich Prokofiev,not_stated,Château de Vétraz,Annemasse,,"Château de Vétraz, Annemasse",Sonia Brichant,not_stated,not_stated,Liège,,Liège,original,letter,draft,Russian,Typed draft.,5.5725,50.6455
5859,"Sergey Sergeevich Prokofiev to Peter Sirota, 02 October 1928","Box: 2; Folder: 1928, October","Binder XIX, page 79",02 October 1928,exact,Sergey Sergeevich Prokofiev,not_stated,Château de Vétraz,Annemasse,,"Château de Vétraz, Annemasse",Peter Sirota,not_stated,175 Rue Legendre,Paris,,"175 Rue Legendre, Paris",original,letter,draft,French,Typed draft.,2.325917206,48.89170966
