SPA id,item_title,container,goldsmiths,date,date_qualifier,Sender,sender_organization,sender_address,sender_city,sender_country,address,Recipient,recipient_organization,recipient_address,recipient_city,recipient_country,address,format,document_type,format,language,notes,x,y
1585,"Sergey Sergeevich Prokofiev to Fatma Samoilenko, 16 October 1920",not_stated,"Binder XLII, page 48",16 October 1920,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Paris,,Paris,Fatma Samoilenko,not_stated,75 Avenue des Champs-Élysées,Paris,,"75 Avenue des Champs-Élysées, Paris",photocopy,postcard,handwritten,Russian,,2.34144,48.85721
1589,"Sergey Sergeevich Prokofiev to Maria Grigorievna Prokofieva, 28 October 1920",not_stated,"Binder XLIII, page 63",28 October 1920,exact,Sergey Sergeevich Prokofiev,not_stated,5 Avenue & 9 Street,New York,,"5 Avenue & 9 Street, New York",Maria Grigorievna Prokofieva,not_stated,not_stated,not_stated,,not_stated,photocopy,letter,handwritten,Russian,,-73.986282,40.669182
1590,"Sergey Sergeevich Prokofiev to Maria Grigorievna Prokofieva, 07 November 1920",not_stated,"Binder XLIII, page 68",07 November 1920,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Chicago,,Chicago,Maria Grigorievna Prokofieva,not_stated,not_stated,not_stated,,not_stated,photocopy,letter,handwritten,Russian,,-87.63245,41.88425
1591,"Sergey Sergeevich Prokofiev to Maria Grigorievna Prokofieva, 15 November 1920",not_stated,"Binder XLIII, page 70",15 November 1920,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Chicago,,Chicago,Maria Grigorievna Prokofieva,not_stated,not_stated,not_stated,,not_stated,photocopy,letter,handwritten,Russian,,-87.63245,41.88425
1592,"Sergey Sergeevich Prokofiev to Maria Grigorievna Prokofieva, 19 November 1920",not_stated,"Binder XLIII, page 72",19 November 1920,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Chicago,,Chicago,Maria Grigorievna Prokofieva,not_stated,19 Rue Ballu,Paris,,"19 Rue Ballu, Paris",photocopy,postcard,handwritten,Russian,,-87.63245,41.88425
1594,"Sergey Sergeevich Prokofiev to Maria Grigorievna Prokofieva, 25 November 1920",not_stated,"Binder XLIII, page 73",25 November 1920,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Chicago,,Chicago,Maria Grigorievna Prokofieva,not_stated,19 Rue Ballu,Paris,,"19 Rue Ballu, Paris",photocopy,postcard,handwritten,Russian,,-87.63245,41.88425
1595,"Sergey Sergeevich Prokofiev to Maria Grigorievna Prokofieva, 01 December 1920",not_stated,"Binder XLIII, page 74",01 December 1920,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Chicago,,Chicago,Maria Grigorievna Prokofieva,not_stated,19 Rue Ballu,Paris,,"19 Rue Ballu, Paris",photocopy,postcard,handwritten,Russian,,-87.63245,41.88425
1596,"Sergey Sergeevich Prokofiev to Maria Grigorievna Prokofieva, 06 December 1920",not_stated,"Binder XLIII, page 75",06 December 1920,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Chicago,,Chicago,Maria Grigorievna Prokofieva,not_stated,19 Rue Ballu,Paris,,"19 Rue Ballu, Paris",photocopy,postcard,handwritten,Russian,,-87.63245,41.88425
1597,"Sergey Sergeevich Prokofiev to Maria Grigorievna Prokofieva, 08 December 1920",not_stated,"Binder XLIII, page 76",08 December 1920,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Appleton,,Appleton,Maria Grigorievna Prokofieva,not_stated,19 Rue Ballu,Paris,,"19 Rue Ballu, Paris",photocopy,postcard,handwritten,Russian,,-88.41714,44.26178
1600,"Sergey Sergeevich Prokofiev to Maria Grigorievna Prokofieva, 12 December 1920",not_stated,"Binder XLIII, page 77",12 December 1920,exact,Sergey Sergeevich Prokofiev,not_stated,not_stated,Ogden,,Ogden,Maria Grigorievna Prokofieva,not_stated,19 Rue Ballu,Paris,,"19 Rue Ballu, Paris",photocopy,postcard,handwritten,Russian,,-111.97048,41.22236
