spa_id,item_title,container,goldsmiths,date,date_qualifier,sender_name,sender_organization,sender_address,sender_city,sender_full_address,recipient_name,recipient_organization,recipient_address,recipient_city,recipient_full_address,original,document_type,format,language,notes
11056,"Gavriil Grigorievich Paichadze to Sergei Sergeevich Prokofiev, 06 August 1933","Box: 5; Folder: 1933, August","Binder XXXV, page 15",06 August 1933,exact,Gavriil Grigorievich Paichadze,not_stated,22 Rue d'Anjou,Paris,"22 Rue d'Anjou, Paris",Sergei Sergeevich Prokofiev,not_stated,Poste Restante,Le Cannet,"Poste Restante, Le Cannet",original,postcard,handwritten,Russian,"XXXV/15 re-addressed to 'Villa Marianna, Ste Maxime, Var (A.M.)'."
11057,"N. Galibin to not_stated, 06 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 323",06 August 1933,exact,N. Galibin,not_stated,"25 Rue Sadi-Carnot, Montrouge",Paris,"25 Rue Sadi-Carnot, Montrouge, Paris",not_stated,not_stated,not_stated,Paris,Paris,original,letter,handwritten,Russian,Recipient: Tatiana Nikolaevna
11060,"Mr Horwitz to Sergei Sergeevich Prokofiev, 07 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 305",07 August 1933,exact,Mr Horwitz,Organization Artistique Internationale Marcel de Valmaléte & Cie.,45-47 Rue La Boétie,Paris,"45-47 Rue La Boétie, Paris",Sergei Sergeevich Prokofiev,not_stated,5 Rue Valentin Haüy,Paris,"5 Rue Valentin Haüy, Paris",original,letter,typed,French,
11061,"Sergei Sergeevich Prokofiev to Paul Le Flem, 07 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 306",07 August 1933,exact,Sergei Sergeevich Prokofiev,not_stated,5 Rue Valentin Haüy,Paris,"5 Rue Valentin Haüy, Paris",Paul Le Flem,not_stated,not_stated,Paris,Paris,original,letter,draft,French,Type draft.
11062,"Sergei Sergeevich Prokofiev to Désiré Defauw, 07 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 307",07 August 1933,exact,Sergei Sergeevich Prokofiev,not_stated,5 Rue Valentin Haüy,Paris,"5 Rue Valentin Haüy, Paris",Désiré Defauw,not_stated,41 Chemin du Boschveld,Uccle,"41 Chemin du Boschveld, Uccle",original,letter,draft,French,Typed draft.
11063,"Warren Klein to Sergei Sergeevich Prokofiev, 07 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 308",07 August 1933,exact,Warren Klein,not_stated,551 Fifth Avenue,New York,"551 Fifth Avenue, New York",Sergei Sergeevich Prokofiev,not_stated,not_stated,Paris,Paris,original,letter,typed,English,
11064,"Sergei Sergeevich Prokofiev to Director, 07 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 310",07 August 1933,exact,Sergei Sergeevich Prokofiev,not_stated,5 Rue Valentin Haüy,Paris,"5 Rue Valentin Haüy, Paris",Director,Leningradskaia Filarmoniia,Lassalia Ul. 2,Leningrad,"Lassalia Ul. 2, Leningrad",original,letter,draft,Russian,Typed draft.
11066,"Sergei Sergeevich Prokofiev to André Mangeot, 08 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 313",08 August 1933,exact,Sergei Sergeevich Prokofiev,not_stated,5 Rue Valentin Haüy,Paris,"5 Rue Valentin Haüy, Paris",André Mangeot,not_stated,not_stated,not_stated,not_stated,original,letter,draft,French,"Typed draft. Recipient's full address: 'c/o M. Devereux, Parenche, Coteaux de Jurançon, près Pau (B.P.), France'."
11067,"Vladimir Vladimirovich Derzhanovsky to Sergei Sergeevich Prokofiev, 08 August 1933","Box: 5; Folder: 1933, August","Binder XXXIV, page 314",08 August 1933,exact,Vladimir Vladimirovich Derzhanovsky,not_stated,not_stated,Moscow,Moscow,Sergei Sergeevich Prokofiev,not_stated,5 Rue Valentin Haüy,Paris,"5 Rue Valentin Haüy, Paris",original,postcard,handwritten,Russian,
11068,"Lina Prokofiev to Sergei Sergeevich Prokofiev, [08 August 1933]","Box: 5; Folder: 1933, August","Binder XXXIV, page 316",[08 August 1933],implied,Lina Prokofiev,not_stated,not_stated,Divonne-les-Bains,Divonne-les-Bains,Sergei Sergeevich Prokofiev,not_stated,5 Rue Valentin Haüy,Paris,"5 Rue Valentin Haüy, Paris",original,postcard,handwritten,Russian,
